test_id,model,dataset,datasetSize,threads,queryName,queryType,elapsedTime,numEntities,numMachines,querySelectivity,temporalRangeIndex,iteration,queryid,cardinality,queryMode
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,4,AgentHistory,edgesDirection,3.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,20,MaintenanceOwners,edgesDirection,15507.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,2,EnvironmentCoverage,edgesDirection,8.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,16,MaintenanceOwners,edgesDirection,5926.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,4,EnvironmentAggregate,edgesDirection,29723.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,4,EnvironmentCoverage,edgesDirection,3.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,12,EnvironmentAggregate,edgesDirection,10408.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,8,AgentHistory,edgesDirection,1.0,-1.0,-1,,0,2.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,4,AgentHistory,edgesDirection,2.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,4,EnvironmentAggregate,edgesDirection,91400.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,1,EnvironmentCoverage,edgesDirection,15.0,-1.0,-1,,0,1.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,4,AgentHistory,edgesDirection,2.0,-1.0,-1,,0,2.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,2,EnvironmentAggregate,edgesDirection,60264.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,8,AgentOutlier,edgesDirection,21619.0,-1.0,-1,,0,1.0,,,
